datetime,anomaly,uncert
1862-02-01 00:00:00,-0.631,0.322
1862-03-01 00:00:00,-0.395,0.278
1862-04-01 00:00:00,-0.521,0.303
1862-05-01 00:00:00,-0.392,0.271
1862-06-01 00:00:00,-0.362,0.241
1862-07-01 00:00:00,-0.394,0.234
1862-08-01 00:00:00,-0.6,0.241
1862-09-01 00:00:00,-0.59,0.248
1862-10-01 00:00:00,-0.536,0.285
1862-11-01 00:00:00,-0.671,0.327
1862-12-01 00:00:00,-1.064,0.381
1863-01-01 00:00:00,-0.238,0.467
1863-02-01 00:00:00,-0.174,0.476
1863-03-01 00:00:00,-0.421,0.322
1863-04-01 00:00:00,-0.274,0.335
1863-05-01 00:00:00,-0.259,0.268
1863-06-01 00:00:00,-0.454,0.274
1863-07-01 00:00:00,-0.403,0.3
1863-08-01 00:00:00,-0.462,0.287
1863-09-01 00:00:00,-0.457,0.269
1863-10-01 00:00:00,-0.474,0.341
1863-11-01 00:00:00,-0.456,0.326
1863-12-01 00:00:00,-0.437,0.417
1864-01-01 00:00:00,-0.676,0.438
1864-02-01 00:00:00,-0.525,0.373
1864-03-01 00:00:00,-0.417,0.296
1864-04-01 00:00:00,-0.489,0.314
1864-05-01 00:00:00,-0.233,0.294
1864-06-01 00:00:00,-0.202,0.286
1864-07-01 00:00:00,-0.296,0.274
1864-08-01 00:00:00,-0.418,0.284
1864-09-01 00:00:00,-0.502,0.297
1864-10-01 00:00:00,-0.423,0.268
1864-11-01 00:00:00,-0.332,0.318
1864-12-01 00:00:00,-0.487,0.381
1865-01-01 00:00:00,-0.023,0.349
1865-02-01 00:00:00,-0.318,0.366
1865-03-01 00:00:00,-0.505,0.33
1865-04-01 00:00:00,-0.481,0.318
1865-05-01 00:00:00,-0.345,0.255
1865-06-01 00:00:00,-0.29,0.276
1865-07-01 00:00:00,-0.257,0.279
1865-08-01 00:00:00,-0.268,0.281
1865-09-01 00:00:00,-0.266,0.287
1865-10-01 00:00:00,-0.237,0.294
1865-11-01 00:00:00,-0.308,0.32
1865-12-01 00:00:00,-0.494,0.34
1866-01-01 00:00:00,-0.077,0.362
1866-02-01 00:00:00,-0.274,0.336
1866-03-01 00:00:00,-0.483,0.348
1866-04-01 00:00:00,-0.585,0.289
1866-05-01 00:00:00,-0.46,0.301
1866-06-01 00:00:00,-0.142,0.257
1866-07-01 00:00:00,0.074,0.253
1866-08-01 00:00:00,-0.204,0.278
1866-09-01 00:00:00,-0.425,0.275
1866-10-01 00:00:00,-0.359,0.291
1866-11-01 00:00:00,-0.156,0.288
1866-12-01 00:00:00,-0.006,0.323
1867-01-01 00:00:00,-0.156,0.382
1867-02-01 00:00:00,-0.38,0.364
1867-03-01 00:00:00,-0.352,0.293
1867-04-01 00:00:00,-0.206,0.291
1867-05-01 00:00:00,-0.544,0.244
1867-06-01 00:00:00,-0.317,0.248
1867-07-01 00:00:00,-0.305,0.236
1867-08-01 00:00:00,-0.436,0.255
